Array Size,Time (microseconds)
1050,0
2050,0
3050,4e-006
4050,0
5050,1.5e-005
6050,1.9e-005
7050,2.3e-005
8050,2.8e-005
9050,4.3e-005
10050,4.9e-005
11050,6.8e-005
12050,7.1e-005
13050,8.6e-005
14050,0.000101
15050,0.00012
16050,0.000131
17050,0.000159
18050,0.000211
19050,0.0002
20050,0.000222
21050,0.000225
22050,0.000248
23050,0.000285
24050,0.000308
25050,0.000344
26050,0.000349
27050,0.000401
28050,0.000396
29050,0.000451
30050,0.000538
31050,0.00051
32050,0.000564
33050,0.00061
34050,0.00064
35050,0.000677
36050,0.000693
37050,0.000699
38050,0.000886
39050,0.000947
40050,0.000882
